"data/test/grid3x3.uai 100"
z ,t
19.601095340161894,0.041319213
23.356817390207702,0.045033701
23.536548936273256,0.044451016
23.83372191584811,0.043777341
17.64827295717566,0.044720836
23.321969672952232,0.04189
19.95628444285413,0.037672968
22.63551501431428,0.037736311
17.447809439627605,0.043432629
20.784641359548985,0.036974096

"data/test/grid3x3.uai 1000"
z ,t
20.00032432231903,0.111786691
21.709571580576622,0.090291028
22.83487570741509,0.101245512
22.973256522247215,0.104620887
22.97325663620029,0.105029992
22.0275441478783,0.096054188
22.880775161441886,0.12765708
22.804836250264433,0.092424391
17.006406839667488,0.121029866
20.449011719205924,0.096461543

"data/test/grid3x3.uai 10000"
z ,t
20.70757340038281,0.348530513
20.67751983278965,0.35756161
18.575540207373404,0.360993679
18.66376060235472,0.335246688
18.649858077516466,0.38333485
20.052150640379118,0.344080757
18.65030911458136,0.320349191
20.734765555715477,0.289149455
22.81811742989957,0.290583245
20.51699220075523,0.288842888

"data/test/grid3x3.uai 100000"
z ,t
22.822796419765144,1.414219272
20.684190651481916,1.372314923
20.685035521286775,1.264878249
20.68473654191044,1.274252658
22.82450605750942,1.504445206
22.823551778899827,1.40424083
18.634130611180513,1.33512875
15.765746953380035,1.419567028
20.387232011490287,1.356441035
20.786756078874294,1.243636306

